Events           Time                      Oxi_events                   Red_events
 100           0.00000                      084                          016
 151           10.00000                      113                          038
 245           20.00000                      172                          073
 365           30.00000                      221                          144
 489           40.00000                      272                          217
 610           50.00000                      310                          300
 737           60.00000                      347                          390
 855           70.00000                      391                          464
 950           80.00000                      424                          526
 1054           90.00000                      457                          597
 1169           100.00000                      497                          672
 1300           110.00000                      539                          761
 1432           120.00000                      584                          848
 1557           130.00000                      633                          924
 1660           140.00000                      659                          1001
 1774           150.00000                      697                          1077
 1882           160.00000                      736                          1146
 1985           170.00000                      763                          1222
 2107           180.00000                      799                          1308
 2226           190.00000                      843                          1383
 2340           200.00000                      880                          1460
 2446           210.00000                      921                          1525
 2554           220.00000                      957                          1597
 2667           230.00000                      991                          1676
 2781           240.00000                      1033                          1748
 2882           250.00000                      1071                          1811
 2991           260.00000                      1104                          1887
 3095           270.00000                      1144                          1951
 3194           280.00000                      1181                          2013
 3311           290.00000                      1209                          2102
 3428           300.00000                      1249                          2179
 3531           310.00000                      1290                          2241
 3633           320.00000                      1324                          2309
 3740           330.00000                      1354                          2386
 3869           340.00000                      1391                          2478
 3976           350.00000                      1430                          2546
 4094           360.00000                      1474                          2620
 4200           370.00000                      1505                          2695
 4306           380.00000                      1541                          2765
 4396           390.00000                      1572                          2824
 4506           400.00000                      1605                          2901
 4628           410.00000                      1647                          2981
 4741           420.00000                      1688                          3053
 4851           430.00000                      1729                          3122
 4960           440.00000                      1766                          3194
 5050           450.00000                      1796                          3254
 5163           460.00000                      1825                          3338
 5286           470.00000                      1866                          3420
 5401           480.00000                      1901                          3500
 5485           490.00000                      1935                          3550
 5582           500.00000                      1970                          3612
 5703           510.00000                      2012                          3691
 5810           520.00000                      2054                          3756
 5928           530.00000                      2088                          3840
 6038           540.00000                      2120                          3918
 6149           550.00000                      2154                          3995
 6265           560.00000                      2199                          4066
 6378           570.00000                      2238                          4140
 6494           580.00000                      2272                          4222
 6604           590.00000                      2317                          4287
 6704           600.00000                      2343                          4361
 6792           610.00000                      2376                          4416
 6917           620.00000                      2412                          4505
 7041           630.00000                      2457                          4584
 7156           640.00000                      2493                          4663
 7244           650.00000                      2520                          4724
 7339           660.00000                      2551                          4788
 7440           670.00000                      2584                          4856
 7558           680.00000                      2624                          4934
 7680           690.00000                      2668                          5012
 7792           700.00000                      2709                          5083
 7905           710.00000                      2748                          5157
 8015           720.00000                      2783                          5232
 8146           730.00000                      2823                          5323
 8246           740.00000                      2854                          5392
 8350           750.00000                      2891                          5459
 8445           760.00000                      2926                          5519
 8553           770.00000                      2954                          5599
 8652           780.00000                      2989                          5663
 8765           790.00000                      3034                          5731
 8876           800.00000                      3060                          5816
 9001           810.00000                      3103                          5898
 9103           820.00000                      3135                          5968
 9218           830.00000                      3175                          6043
 9335           840.00000                      3214                          6121
 9444           850.00000                      3253                          6191
 9544           860.00000                      3293                          6251
 9657           870.00000                      3332                          6325
 9784           880.00000                      3369                          6415
 9890           890.00000                      3406                          6484
 9989           900.00000                      3441                          6548
 10090           910.00000                      3473                          6617
 10212           920.00000                      3523                          6689
 10330           930.00000                      3551                          6779
 10451           940.00000                      3583                          6868
 10556           950.00000                      3626                          6930
 10648           960.00000                      3661                          6987
 10764           970.00000                      3709                          7055
 10876           980.00000                      3738                          7138
 10988           990.00000                      3766                          7222
 11094           1000.00000                      3803                          7291
