Events           Time                      Oxi_events                   Red_events
 000           0.000e+00                      000                          000
 001           6.592e-02                      001                          000
 002           9.397e-02                      002                          000
 003           3.202e+00                      003                          000
 004           3.313e+00                      004                          000
 005           3.994e+00                      005                          000
 006           4.534e+00                      006                          000
 007           4.835e+00                      007                          000
 008           7.423e+00                      008                          000
 009           8.230e+00                      009                          000
 010           9.226e+00                      010                          000
 011           9.733e+00                      011                          000
 012           1.197e+01                      012                          000
 013           1.266e+01                      013                          000
 014           1.491e+01                      014                          000
 015           1.519e+01                      015                          000
 016           1.581e+01                      016                          000
 017           1.895e+01                      017                          000
 018           1.943e+01                      018                          000
 019           1.955e+01                      019                          000
 020           1.964e+01                      020                          000
 021           2.133e+01                      021                          000
 022           2.256e+01                      022                          000
 023           2.399e+01                      023                          000
 024           2.409e+01                      024                          000
 025           2.606e+01                      025                          000
 026           2.801e+01                      026                          000
 027           2.980e+01                      027                          000
 028           2.994e+01                      028                          000
 029           3.407e+01                      029                          000
 030           3.521e+01                      030                          000
 031           3.608e+01                      031                          000
 032           3.700e+01                      032                          000
 033           3.748e+01                      033                          000
 034           3.788e+01                      034                          000
 035           3.809e+01                      035                          000
 036           4.374e+01                      036                          000
 037           4.453e+01                      037                          000
 038           4.460e+01                      038                          000
 039           4.688e+01                      039                          000
 040           4.898e+01                      040                          000
 041           4.907e+01                      041                          000
 042           5.068e+01                      042                          000
 043           5.156e+01                      043                          000
 044           5.323e+01                      044                          000
 045           5.535e+01                      045                          000
 046           5.551e+01                      046                          000
 047           5.594e+01                      047                          000
 048           5.690e+01                      048                          000
 049           6.287e+01                      049                          000
 050           6.294e+01                      050                          000
 051           6.633e+01                      051                          000
 052           6.634e+01                      052                          000
 053           7.443e+01                      053                          000
 054           7.668e+01                      054                          000
 055           8.171e+01                      055                          000
 056           8.432e+01                      056                          000
 057           8.436e+01                      057                          000
 058           8.851e+01                      058                          000
 059           8.934e+01                      059                          000
 060           9.293e+01                      060                          000
 061           9.448e+01                      061                          000
 062           9.674e+01                      062                          000
 063           9.739e+01                      063                          000
 064           9.815e+01                      064                          000
 065           9.938e+01                      065                          000
 066           1.055e+02                      066                          000
 067           1.092e+02                      067                          000
 068           1.095e+02                      068                          000
 069           1.176e+02                      069                          000
 070           1.191e+02                      070                          000
 071           1.238e+02                      071                          000
 072           1.238e+02                      072                          000
 073           1.280e+02                      073                          000
 074           1.368e+02                      074                          000
 075           1.428e+02                      075                          000
 076           1.440e+02                      076                          000
 077           1.444e+02                      077                          000
 078           1.458e+02                      078                          000
 079           1.485e+02                      079                          000
 080           1.532e+02                      080                          000
 081           1.560e+02                      081                          000
 082           1.790e+02                      082                          000
 083           1.791e+02                      083                          000
 084           1.803e+02                      084                          000
 085           1.872e+02                      085                          000
 086           2.035e+02                      086                          000
 087           2.038e+02                      087                          000
 088           2.114e+02                      088                          000
 089           2.130e+02                      089                          000
 090           2.145e+02                      090                          000
 091           2.173e+02                      091                          000
 092           2.191e+02                      092                          000
 093           2.192e+02                      093                          000
 094           2.212e+02                      094                          000
 095           2.212e+02                      095                          000
 096           2.377e+02                      096                          000
 097           2.389e+02                      097                          000
 098           2.415e+02                      098                          000
 099           2.518e+02                      099                          000
 100           2.536e+02                      100                          000
 101           2.600e+02                      101                          000
 102           2.606e+02                      102                          000
 103           2.632e+02                      103                          000
 104           2.687e+02                      104                          000
 105           2.694e+02                      105                          000
 106           2.697e+02                      106                          000
 107           2.742e+02                      107                          000
 108           2.811e+02                      108                          000
 109           2.845e+02                      109                          000
 110           2.998e+02                      110                          000
 111           3.032e+02                      111                          000
 112           3.042e+02                      112                          000
 113           3.199e+02                      113                          000
 114           3.286e+02                      114                          000
 115           3.300e+02                      115                          000
 116           3.396e+02                      116                          000
 117           3.407e+02                      117                          000
 118           3.424e+02                      118                          000
 119           3.513e+02                      119                          000
 120           3.628e+02                      120                          000
 121           3.694e+02                      121                          000
 122           3.756e+02                      122                          000
 123           3.824e+02                      123                          000
 124           3.872e+02                      124                          000
 125           3.992e+02                      125                          000
 126           4.026e+02                      126                          000
 127           4.129e+02                      127                          000
 128           4.349e+02                      128                          000
 129           4.401e+02                      129                          000
 130           4.434e+02                      130                          000
 131           4.498e+02                      131                          000
 132           4.531e+02                      132                          000
 133           4.890e+02                      133                          000
 134           5.241e+02                      134                          000
 135           5.254e+02                      135                          000
 136           5.683e+02                      136                          000
 137           5.767e+02                      137                          000
 138           5.909e+02                      138                          000
 139           6.064e+02                      139                          000
 140           6.079e+02                      140                          000
 141           6.279e+02                      141                          000
 142           6.694e+02                      142                          000
 143           6.802e+02                      143                          000
 144           7.065e+02                      144                          000
 145           7.113e+02                      145                          000
 146           7.496e+02                      146                          000
 147           7.706e+02                      147                          000
 148           7.803e+02                      148                          000
 149           7.899e+02                      149                          000
 150           8.184e+02                      150                          000
 151           8.195e+02                      151                          000
 152           8.287e+02                      152                          000
 153           8.779e+02                      153                          000
 154           8.782e+02                      154                          000
 155           9.230e+02                      155                          000
 156           9.527e+02                      156                          000
 157           1.002e+03                      157                          000
 158           1.021e+03                      158                          000
 159           1.064e+03                      159                          000
 160           1.067e+03                      160                          000
 161           1.085e+03                      161                          000
 162           1.086e+03                      162                          000
 163           1.090e+03                      163                          000
 164           1.242e+03                      164                          000
 165           1.324e+03                      165                          000
 166           1.370e+03                      166                          000
 167           1.438e+03                      167                          000
 168           1.475e+03                      168                          000
 169           1.514e+03                      169                          000
 170           1.624e+03                      170                          000
 171           1.748e+03                      171                          000
 172           1.909e+03                      172                          000
 173           1.948e+03                      173                          000
 174           1.953e+03                      174                          000
 175           2.588e+03                      175                          000
 176           2.747e+03                      176                          000
 177           3.018e+03                      177                          000
 178           3.179e+03                      178                          000
 179           3.959e+03                      179                          000
 180           4.688e+03                      180                          000
 181           5.818e+03                      181                          000
 182           8.681e+03                      182                          000
 183           1.043e+04                      183                          000
 184           2.142e+05                      184                          000
 185           2.749e+06                      185                          000
 186           1.645e+09                      186                          000
 187           3.958e+10                      187                          000
 188           1.402e+11                      188                          000
 189           1.688e+17                      189                          000
 190           3.405e+17                      190                          000
 191           6.577e+19                      191                          000
 192           2.028e+21                      192                          000
 193           2.411e+21                      193                          000
 194           1.469e+23                      194                          000
 195           1.263e+24                      195                          000
 196           3.393e+30                      196                          000
 197           3.737e+30                      197                          000
 198           1.077e+57                      198                          000
 199           1.693e+62                      199                          000
 200           4.574e+124                      200                          000
