Events           Time                      CuI                   CuII
 100           0.000000000000                   458                   152
 151           10.000000000000                   422                   188
 245           20.000000000000                   339                   271
 365           30.000000000000                   312                   298
 489           40.000000000000                   283                   327
 610           50.000000000000                   290                   320
 737           60.000000000000                   306                   304
 855           70.000000000000                   292                   318
 950           80.000000000000                   288                   322
 1054           90.000000000000                   293                   317
 1169           100.000000000000                   288                   322
 1300           110.000000000000                   293                   317
 1432           120.000000000000                   290                   320
 1557           130.000000000000                   268                   342
 1660           140.000000000000                   293                   317
 1774           150.000000000000                   293                   317
 1882           160.000000000000                   284                   326
 1985           170.000000000000                   306                   304
 2107           180.000000000000                   320                   290
 2226           190.000000000000                   307                   303
 2340           200.000000000000                   310                   300
 2446           210.000000000000                   293                   317
 2554           220.000000000000                   293                   317
 2667           230.000000000000                   304                   306
 2781           240.000000000000                   292                   318
 2882           250.000000000000                   279                   331
 2991           260.000000000000                   289                   321
 3095           270.000000000000                   273                   337
 3194           280.000000000000                   261                   349
 3311           290.000000000000                   294                   316
 3428           300.000000000000                   291                   319
 3531           310.000000000000                   271                   339
 3633           320.000000000000                   271                   339
 3740           330.000000000000                   288                   322
 3869           340.000000000000                   306                   304
 3976           350.000000000000                   296                   314
 4094           360.000000000000                   282                   328
 4200           370.000000000000                   295                   315
 4306           380.000000000000                   293                   317
 4396           390.000000000000                   290                   320
 4506           400.000000000000                   301                   309
 4628           410.000000000000                   297                   313
 4741           420.000000000000                   287                   323
 4851           430.000000000000                   274                   336
 4960           440.000000000000                   272                   338
 5050           450.000000000000                   272                   338
 5163           460.000000000000                   298                   312
 5286           470.000000000000                   298                   312
 5401           480.000000000000                   308                   302
 5485           490.000000000000                   290                   320
 5582           500.000000000000                   282                   328
 5703           510.000000000000                   277                   333
 5810           520.000000000000                   258                   352
 5928           530.000000000000                   274                   336
 6038           540.000000000000                   288                   322
 6149           550.000000000000                   297                   313
 6265           560.000000000000                   278                   332
 6378           570.000000000000                   274                   336
 6494           580.000000000000                   288                   322
 6604           590.000000000000                   263                   347
 6704           600.000000000000                   285                   325
 6792           610.000000000000                   274                   336
 6917           620.000000000000                   291                   319
 7041           630.000000000000                   280                   330
 7156           640.000000000000                   287                   323
 7244           650.000000000000                   294                   316
 7339           660.000000000000                   296                   314
 7440           670.000000000000                   298                   312
 7558           680.000000000000                   296                   314
 7680           690.000000000000                   286                   324
 7792           700.000000000000                   275                   335
 7905           710.000000000000                   271                   339
 8015           720.000000000000                   276                   334
 8146           730.000000000000                   287                   323
 8246           740.000000000000                   294                   316
 8350           750.000000000000                   287                   323
 8445           760.000000000000                   277                   333
 8553           770.000000000000                   301                   309
 8652           780.000000000000                   295                   315
 8765           790.000000000000                   273                   337
 8876           800.000000000000                   306                   304
 9001           810.000000000000                   302                   308
 9103           820.000000000000                   308                   302
 9218           830.000000000000                   303                   307
 9335           840.000000000000                   303                   307
 9444           850.000000000000                   295                   315
 9544           860.000000000000                   275                   335
 9657           870.000000000000                   271                   339
 9784           880.000000000000                   287                   323
 9890           890.000000000000                   282                   328
 9989           900.000000000000                   276                   334
 10090           910.000000000000                   281                   329
 10212           920.000000000000                   253                   357
 10330           930.000000000000                   287                   323
 10451           940.000000000000                   312                   298
 10556           950.000000000000                   288                   322
 10648           960.000000000000                   275                   335
 10764           970.000000000000                   247                   363
 10876           980.000000000000                   272                   338
 10988           990.000000000000                   300                   310
 11094           1000.000000000000                   295                   315
