Events           Time                      CuI                   CuII
 000           0.000e+00                   1.000                   0.000
 001           6.592e-02                   398.000                   2.000
 002           9.397e-02                   396.000                   4.000
 003           3.202e+00                   394.000                   6.000
 004           3.313e+00                   392.000                   8.000
 005           3.994e+00                   390.000                   10.000
 006           4.534e+00                   388.000                   12.000
 007           4.835e+00                   386.000                   14.000
 008           7.423e+00                   384.000                   16.000
 009           8.230e+00                   382.000                   18.000
 010           9.226e+00                   380.000                   20.000
 011           9.733e+00                   378.000                   22.000
 012           1.197e+01                   376.000                   24.000
 013           1.266e+01                   374.000                   26.000
 014           1.491e+01                   372.000                   28.000
 015           1.519e+01                   370.000                   30.000
 016           1.581e+01                   368.000                   32.000
 017           1.895e+01                   366.000                   34.000
 018           1.943e+01                   364.000                   36.000
 019           1.955e+01                   362.000                   38.000
 020           1.964e+01                   360.000                   40.000
 021           2.133e+01                   358.000                   42.000
 022           2.256e+01                   356.000                   44.000
 023           2.399e+01                   354.000                   46.000
 024           2.409e+01                   352.000                   48.000
 025           2.606e+01                   350.000                   50.000
 026           2.801e+01                   348.000                   52.000
 027           2.980e+01                   346.000                   54.000
 028           2.994e+01                   344.000                   56.000
 029           3.407e+01                   342.000                   58.000
 030           3.521e+01                   340.000                   60.000
 031           3.608e+01                   338.000                   62.000
 032           3.700e+01                   336.000                   64.000
 033           3.748e+01                   334.000                   66.000
 034           3.788e+01                   332.000                   68.000
 035           3.809e+01                   330.000                   70.000
 036           4.374e+01                   328.000                   72.000
 037           4.453e+01                   326.000                   74.000
 038           4.460e+01                   324.000                   76.000
 039           4.688e+01                   322.000                   78.000
 040           4.898e+01                   320.000                   80.000
 041           4.907e+01                   318.000                   82.000
 042           5.068e+01                   316.000                   84.000
 043           5.156e+01                   314.000                   86.000
 044           5.323e+01                   312.000                   88.000
 045           5.535e+01                   310.000                   90.000
 046           5.551e+01                   308.000                   92.000
 047           5.594e+01                   306.000                   94.000
 048           5.690e+01                   304.000                   96.000
 049           6.287e+01                   302.000                   98.000
 050           6.294e+01                   300.000                   100.000
 051           6.633e+01                   298.000                   102.000
 052           6.634e+01                   296.000                   104.000
 053           7.443e+01                   294.000                   106.000
 054           7.668e+01                   292.000                   108.000
 055           8.171e+01                   290.000                   110.000
 056           8.432e+01                   288.000                   112.000
 057           8.436e+01                   286.000                   114.000
 058           8.851e+01                   284.000                   116.000
 059           8.934e+01                   282.000                   118.000
 060           9.293e+01                   280.000                   120.000
 061           9.448e+01                   278.000                   122.000
 062           9.674e+01                   276.000                   124.000
 063           9.739e+01                   274.000                   126.000
 064           9.815e+01                   272.000                   128.000
 065           9.938e+01                   270.000                   130.000
 066           1.055e+02                   268.000                   132.000
 067           1.092e+02                   266.000                   134.000
 068           1.095e+02                   264.000                   136.000
 069           1.176e+02                   262.000                   138.000
 070           1.191e+02                   260.000                   140.000
 071           1.238e+02                   258.000                   142.000
 072           1.238e+02                   256.000                   144.000
 073           1.280e+02                   254.000                   146.000
 074           1.368e+02                   252.000                   148.000
 075           1.428e+02                   250.000                   150.000
 076           1.440e+02                   248.000                   152.000
 077           1.444e+02                   246.000                   154.000
 078           1.458e+02                   244.000                   156.000
 079           1.485e+02                   242.000                   158.000
 080           1.532e+02                   240.000                   160.000
 081           1.560e+02                   238.000                   162.000
 082           1.790e+02                   236.000                   164.000
 083           1.791e+02                   234.000                   166.000
 084           1.803e+02                   232.000                   168.000
 085           1.872e+02                   230.000                   170.000
 086           2.035e+02                   228.000                   172.000
